activation,loss,n_batch,n_epochs,n_neurons,steps_in,steps_out,modelo,RMSE_global,RMSE_t+1,RMSE_t+2,RMSE_t+3
relu,mse,32,1500,"[100, 150]",30,3,../results/models/modelo_344_RMSE_9.5328.keras,9.532805505954514,7.140497829008131,10.1764084396695,10.8663307728977
relu,mse,32,1500,"[150, 50]",3,3,../results/models/modelo_345_RMSE_13.1696.keras,13.169576502245791,7.880377962362635,12.678338687391628,17.247394210245552
relu,mse,32,1500,"[150, 50]",5,3,../results/models/modelo_346_RMSE_11.7079.keras,11.707910485365312,6.570715617703671,11.122228034498335,15.63161039752032
relu,mse,32,1500,"[150, 50]",7,3,../results/models/modelo_347_RMSE_12.5158.keras,12.51584728557165,8.402704284320738,12.039222436268371,15.949638982358307
relu,mse,32,1500,"[150, 50]",14,3,../results/models/modelo_348_RMSE_9.6039.keras,9.603903760902535,6.9992562233399065,10.068025293835717,11.24055965460596
relu,mse,32,1500,"[150, 50]",30,3,../results/models/modelo_349_RMSE_7.7428.keras,7.742849937828644,5.846789654183074,7.888787525751094,9.134399684297314
relu,mse,32,1500,"[150, 100]",3,3,../results/models/modelo_350_RMSE_12.5811.keras,12.581128065775141,7.177549104557645,11.99180590086673,16.719262253757083
relu,mse,32,1500,"[150, 100]",5,3,../results/models/modelo_351_RMSE_13.9032.keras,13.90319083883156,7.334359177481829,13.150101342988135,18.79303479025513
relu,mse,32,1500,"[150, 100]",7,3,../results/models/modelo_352_RMSE_13.0199.keras,13.019917166950762,7.135874584440044,12.23183177736067,17.550393567902404
relu,mse,32,1500,"[150, 100]",14,3,../results/models/modelo_353_RMSE_9.9679.keras,9.967929302602855,7.030926395407639,10.139089132054066,12.076580200524043
relu,mse,32,1500,"[150, 100]",30,3,../results/models/modelo_354_RMSE_8.0599.keras,8.059859797819739,5.826443753182825,8.384052574075604,9.52072662708396
relu,mse,32,1500,"[150, 150]",3,3,../results/models/modelo_355_RMSE_11.7243.keras,11.724269612228046,6.770666091638373,11.361628927794623,15.409314150969887
relu,mse,32,1500,"[150, 150]",5,3,../results/models/modelo_356_RMSE_12.2304.keras,12.230381912035561,7.783233766737775,11.838566322385514,15.748534684393093
relu,mse,32,1500,"[150, 150]",7,3,../results/models/modelo_357_RMSE_12.2169.keras,12.216888292155398,6.917731892011765,11.70442139816347,16.214456014108762
