Datetime,R1
2020-09-08 03:00:00,156.447
2020-09-08 04:00:00,149.856
2020-09-08 05:00:00,155.818
2020-09-08 06:00:00,172.762
2020-09-08 07:00:00,197.559
2020-09-08 08:00:00,235.682
2020-09-08 09:00:00,252.048
2020-09-08 10:00:00,243.91
2020-09-08 11:00:00,244.3
2020-09-08 12:00:00,247.284
2020-09-08 13:00:00,246.922
2020-09-08 14:00:00,248.521
2020-09-08 15:00:00,246.051
2020-09-08 16:00:00,247.456
2020-09-08 17:00:00,249.169
2020-09-08 18:00:00,246.629
2020-09-08 19:00:00,257.692
2020-09-08 20:00:00,254.2
2020-09-08 21:00:00,239.739
2020-09-08 22:00:00,230.173
2020-09-08 23:00:00,226.263
2020-09-09 00:00:00,215.346
2020-09-09 01:00:00,188.037
2020-09-09 02:00:00,168.607
2020-09-09 03:00:00,166.542
2020-09-09 04:00:00,164.691
2020-09-09 05:00:00,165.727
2020-09-09 06:00:00,183.597
2020-09-09 07:00:00,204.664
2020-09-09 08:00:00,238.772
2020-09-09 09:00:00,260.521
2020-09-09 10:00:00,252.178
2020-09-09 11:00:00,245.732
2020-09-09 12:00:00,252.584
2020-09-09 13:00:00,264.186
2020-09-09 14:00:00,257.015
2020-09-09 15:00:00,256.815
2020-09-09 16:00:00,250.656
2020-09-09 17:00:00,247.436
2020-09-09 18:00:00,256.732
2020-09-09 19:00:00,263.804
2020-09-09 20:00:00,253.307
2020-09-09 21:00:00,248.028
2020-09-09 22:00:00,234.093
2020-09-09 23:00:00,231.98
2020-09-10 00:00:00,229.106
2020-09-10 01:00:00,210.769
2020-09-10 02:00:00,191.563
2020-09-10 03:00:00,176.616
2020-09-10 04:00:00,175.928
2020-09-10 05:00:00,170.835
2020-09-10 06:00:00,187.443
2020-09-10 07:00:00,207.955
2020-09-10 08:00:00,248.235
2020-09-10 09:00:00,266.297
2020-09-10 10:00:00,255.48
2020-09-10 11:00:00,255.153
2020-09-10 12:00:00,253.157
2020-09-10 13:00:00,258.804
2020-09-10 14:00:00,240.243
2020-09-10 15:00:00,254.557
2020-09-10 16:00:00,252.889
2020-09-10 17:00:00,252.767
2020-09-10 18:00:00,255.397
2020-09-10 19:00:00,255.941
2020-09-10 20:00:00,251.28
2020-09-10 21:00:00,245.448
2020-09-10 22:00:00,236.999
2020-09-10 23:00:00,232.15
2020-09-11 00:00:00,233.848
2020-09-11 01:00:00,209.206
2020-09-11 02:00:00,197.796
2020-09-11 03:00:00,182.634
2020-09-11 04:00:00,167.828
2020-09-11 05:00:00,161.634
2020-09-11 06:00:00,177.416
2020-09-11 07:00:00,206.507
2020-09-11 08:00:00,242.323
2020-09-11 09:00:00,260.21
2020-09-11 10:00:00,249.761
2020-09-11 11:00:00,247.822
2020-09-11 12:00:00,247.692
2020-09-11 13:00:00,242.123
2020-09-11 14:00:00,245.879
2020-09-11 15:00:00,246.679
2020-09-11 16:00:00,246.18
2020-09-11 17:00:00,250.825
2020-09-11 18:00:00,258.948
2020-09-11 19:00:00,262.617
2020-09-11 20:00:00,249.68
2020-09-11 21:00:00,245.53
2020-09-11 22:00:00,234.311
2020-09-11 23:00:00,226.64
2020-09-12 00:00:00,225.226
2020-09-12 01:00:00,193.544
2020-09-12 02:00:00,178.643
2020-09-12 03:00:00,166.824
2020-09-12 04:00:00,150.994
2020-09-12 05:00:00,159.579
2020-09-12 06:00:00,166.959
2020-09-12 07:00:00,181.387
2020-09-12 08:00:00,194.388
2020-09-12 09:00:00,210.959
2020-09-12 10:00:00,227.257
2020-09-12 11:00:00,238.266
2020-09-12 12:00:00,246.144
2020-09-12 13:00:00,243.162
2020-09-12 14:00:00,237.813
2020-09-12 15:00:00,235.115
2020-09-12 16:00:00,228.915
2020-09-12 17:00:00,228.182
2020-09-12 18:00:00,232.477
2020-09-12 19:00:00,246.385
2020-09-12 20:00:00,244.622
2020-09-12 21:00:00,239.076
2020-09-12 22:00:00,234.168
2020-09-12 23:00:00,231.498
2020-09-13 00:00:00,235.523
2020-09-13 01:00:00,216.356
2020-09-13 02:00:00,203.889
2020-09-13 03:00:00,187.479
2020-09-13 04:00:00,168.666
2020-09-13 05:00:00,157.013
2020-09-13 06:00:00,163.197
2020-09-13 07:00:00,170.333
2020-09-13 08:00:00,180.027
2020-09-13 09:00:00,195.33
2020-09-13 10:00:00,217.154
2020-09-13 11:00:00,221.546
2020-09-13 12:00:00,242.91
2020-09-13 13:00:00,241.407
2020-09-13 14:00:00,232.789
2020-09-13 15:00:00,222.526
2020-09-13 16:00:00,228.058
2020-09-13 17:00:00,226.529
2020-09-13 18:00:00,237.185
2020-09-13 19:00:00,248.447
2020-09-13 20:00:00,252.411
2020-09-13 21:00:00,254.444
2020-09-13 22:00:00,240.363
2020-09-13 23:00:00,231.289
2020-09-14 00:00:00,232.653
2020-09-14 01:00:00,201.576
2020-09-14 02:00:00,184.799
2020-09-14 03:00:00,165.832
2020-09-14 04:00:00,165.293
2020-09-14 05:00:00,161.775
2020-09-14 06:00:00,179.021
2020-09-14 07:00:00,211.49
2020-09-14 08:00:00,244.782
2020-09-14 09:00:00,267.882
2020-09-14 10:00:00,264.027
2020-09-14 11:00:00,250.376
2020-09-14 12:00:00,251.389
2020-09-14 13:00:00,260.372
2020-09-14 14:00:00,263.657
2020-09-14 15:00:00,257.467
2020-09-14 16:00:00,263.983
2020-09-14 17:00:00,264.042
2020-09-14 18:00:00,269.443
2020-09-14 19:00:00,277.917
2020-09-14 20:00:00,269.001
2020-09-14 21:00:00,255.297
2020-09-14 22:00:00,241.797
2020-09-14 23:00:00,239.452
2020-09-15 00:00:00,233.096
2020-09-15 01:00:00,199.742
2020-09-15 02:00:00,183.074
2020-09-15 03:00:00,177.234
2020-09-15 04:00:00,170.859
2020-09-15 05:00:00,167.733
2020-09-15 06:00:00,180.959
2020-09-15 07:00:00,213.693
2020-09-15 08:00:00,249.561
2020-09-15 09:00:00,264.425
2020-09-15 10:00:00,256.339
2020-09-15 11:00:00,254.949
2020-09-15 12:00:00,251.833
2020-09-15 13:00:00,264.659
2020-09-15 14:00:00,249.406
2020-09-15 15:00:00,226.639
2020-09-15 16:00:00,203.873
2020-09-15 17:00:00,261.938
2020-09-15 18:00:00,272.639
2020-09-15 19:00:00,270.328
2020-09-15 20:00:00,266.313
2020-09-15 21:00:00,251.587
2020-09-15 22:00:00,247.331
2020-09-15 23:00:00,242.271
2020-09-16 00:00:00,236.256
2020-09-16 01:00:00,198.15
2020-09-16 02:00:00,185.868
2020-09-16 03:00:00,174.359
2020-09-16 04:00:00,171.205
2020-09-16 05:00:00,166.938
2020-09-16 06:00:00,187.896
2020-09-16 07:00:00,207.985
2020-09-16 08:00:00,241.991
2020-09-16 09:00:00,267.484
2020-09-16 10:00:00,264.436
2020-09-16 11:00:00,264.279
2020-09-16 12:00:00,275.462
2020-09-16 13:00:00,274.749
2020-09-16 14:00:00,260.732
2020-09-16 15:00:00,258.187
2020-09-16 16:00:00,261.991
2020-09-16 17:00:00,262.359
2020-09-16 18:00:00,256.053
2020-09-16 19:00:00,253.49
2020-09-16 20:00:00,250.928
2020-09-16 21:00:00,248.365
2020-09-16 22:00:00,245.803
2020-09-16 23:00:00,243.241
2020-09-17 00:00:00,243.04964
2020-09-17 01:00:00,242.85828
2020-09-17 02:00:00,242.66692
2020-09-17 03:00:00,242.47556
2020-09-17 04:00:00,242.2842
2020-09-17 05:00:00,242.09284
2020-09-17 06:00:00,241.90148000000002
2020-09-17 07:00:00,241.71012
2020-09-17 08:00:00,241.51876000000001
2020-09-17 09:00:00,241.32739999999998
2020-09-17 10:00:00,241.13604
2020-09-17 11:00:00,240.94468
2020-09-17 12:00:00,240.75332
2020-09-17 13:00:00,240.56196
2020-09-17 14:00:00,240.3706
2020-09-17 15:00:00,240.17924
2020-09-17 16:00:00,239.98788000000002
2020-09-17 17:00:00,239.79652
2020-09-17 18:00:00,239.60516
2020-09-17 19:00:00,239.41379999999998
2020-09-17 20:00:00,239.22244
2020-09-17 21:00:00,239.03107999999997
2020-09-17 22:00:00,238.83972
2020-09-17 23:00:00,238.64836
2020-09-18 00:00:00,238.457
2020-09-18 01:00:00,210.724
2020-09-18 02:00:00,190.647
2020-09-18 03:00:00,176.334
2020-09-18 04:00:00,168.519
2020-09-18 05:00:00,163.346
2020-09-18 06:00:00,176.738
2020-09-18 07:00:00,183.178
2020-09-18 08:00:00,197.046
2020-09-18 09:00:00,219.086
2020-09-18 10:00:00,223.296
2020-09-18 11:00:00,248.621
2020-09-18 12:00:00,253.771
2020-09-18 13:00:00,240.344
2020-09-18 14:00:00,236.862
2020-09-18 15:00:00,221.781
2020-09-18 16:00:00,217.803
2020-09-18 17:00:00,226.209
2020-09-18 18:00:00,244.84
2020-09-18 19:00:00,256.009
2020-09-18 20:00:00,246.138
2020-09-18 21:00:00,244.233
2020-09-18 22:00:00,233.164
2020-09-18 23:00:00,238.288
2020-09-19 00:00:00,233.797
2020-09-19 01:00:00,214.675
2020-09-19 02:00:00,205.827
2020-09-19 03:00:00,189.785
2020-09-19 04:00:00,175.987
2020-09-19 05:00:00,174.325
2020-09-19 06:00:00,179.649
2020-09-19 07:00:00,186.67
2020-09-19 08:00:00,202.545
2020-09-19 09:00:00,226.714
2020-09-19 10:00:00,238.379
2020-09-19 11:00:00,246.455
2020-09-19 12:00:00,255.857
2020-09-19 13:00:00,246.263
2020-09-19 14:00:00,250.602
2020-09-19 15:00:00,246.081
2020-09-19 16:00:00,238.852
2020-09-19 17:00:00,238.114
2020-09-19 18:00:00,244.062
2020-09-19 19:00:00,255.571
2020-09-19 20:00:00,253.869
2020-09-19 21:00:00,248.774
2020-09-19 22:00:00,243.227
2020-09-19 23:00:00,245.19
2020-09-20 00:00:00,244.337
2020-09-20 01:00:00,229.778
2020-09-20 02:00:00,209.493
2020-09-20 03:00:00,196.673
2020-09-20 04:00:00,177.982
2020-09-20 05:00:00,171.899
2020-09-20 06:00:00,182.722
2020-09-20 07:00:00,192.177
2020-09-20 08:00:00,201.472
2020-09-20 09:00:00,216.237
2020-09-20 10:00:00,230.272
2020-09-20 11:00:00,244.637
2020-09-20 12:00:00,258.386
