Datetime,R1,R2,R3,R4,R5,R6
2020-08-30 19:00:00,239.962,29.049,34.725,26.966,9.642,26.335
2020-08-30 20:00:00,242.337,29.121,34.141,25.708,8.143,25.25
2020-08-30 21:00:00,232.901,29.436,32.837,23.341,8.867,23.816
2020-08-30 22:00:00,213.868,26.402,30.523,20.822,8.1,20.524
2020-08-30 23:00:00,211.493,25.897,28.185,18.584,8.272,20.232
2020-08-31 00:00:00,222.572,24.601,27.43,18.144,6.994,17.846
2020-08-31 01:00:00,192.28,24.156,26.272,10.936,4.873,13.371
2020-08-31 02:00:00,181.873,28.699,28.519,10.86,5.823,1.722
2020-08-31 03:00:00,174.107,25.965,24.039,11.916,6.611,1.637
2020-08-31 04:00:00,158.131,22.634,15.413,11.807,5.405,1.644
2020-08-31 05:00:00,155.893,22.829,14.511,11.918,4.24,1.807
2020-08-31 06:00:00,175.344,22.371,19.266,14.286,4.673,6.544
2020-08-31 07:00:00,195.143,18.369,21.393,14.202,4.612,13.293
2020-08-31 08:00:00,221.14,24.137,26.093,17.983,6.788,20.793
2020-08-31 09:00:00,238.057,28.903,31.012,22.968,8.853,26.36
2020-08-31 10:00:00,238.927,30.141,32.745,22.07,9.343,26.145
2020-08-31 11:00:00,241.289,30.885,33.548,22.389,10.76,26.43
2020-08-31 12:00:00,247.825,31.352,35.715,25.723,10.939,28.602
2020-08-31 13:00:00,259.346,33.571,39.427,30.46,12.069,31.888
2020-08-31 14:00:00,258.234,33.83,39.478,29.745,10.536,29.096
2020-08-31 15:00:00,243.4,29.134,33.208,25.494,8.786,27.522
2020-08-31 16:00:00,255.053,31.615,38.363,28.435,11.403,30.175
2020-08-31 17:00:00,261.851,35.971,42.5,30.766,12.107,33.158
2020-08-31 18:00:00,236.638,32.64,44.203,34.424,11.945,36.325
2020-08-31 19:00:00,269.14,33.661,42.59,32.826,11.493,34.357
2020-08-31 20:00:00,253.862,33.185,41.995,32.215,11.813,33.949
2020-08-31 21:00:00,252.685,31.948,39.755,29.403,10.309,29.342
2020-08-31 22:00:00,239.981,27.704,33.072,23.945,9.275,23.529
2020-08-31 23:00:00,228.73,27.388,32.32,22.106,9.309,22.049
2020-09-01 00:00:00,225.97,25.764,30.02,18.712,6.992,22.082
2020-09-01 01:00:00,195.307,26.577,28.608,10.93,4.832,19.434
2020-09-01 02:00:00,178.979,26.262,29.266,12.254,5.525,10.808
2020-09-01 03:00:00,159.202,25.194,29.698,13.205,5.328,10.297
2020-09-01 04:00:00,149.432,15.76,29.39,13.098,5.04,6.339
2020-09-01 05:00:00,138.34,16.777,30.337,14.242,4.304,3.294
2020-09-01 06:00:00,165.703,23.22,26.166,15.486,3.252,8.41
2020-09-01 07:00:00,206.568,21.506,22.83,15.36,3.457,18.065
2020-09-01 08:00:00,234.903,24.802,26.277,19.61,6.978,23.864
2020-09-01 09:00:00,258.159,32.581,36.319,27.441,9.304,31.829
2020-09-01 10:00:00,255.656,31.382,39.074,27.353,9.025,31.367
2020-09-01 11:00:00,240.244,30.14,38.025,26.883,10.079,29.489
2020-09-01 12:00:00,242.087,28.996,35.596,26.464,10.03,29.224
2020-09-01 13:00:00,249.914,33.161,37.718,28.31,10.976,28.427
2020-09-01 14:00:00,251.094,30.797,37.714,26.147,11.634,28.608
2020-09-01 15:00:00,246.876,28.951,35.953,26.326,9.619,27.898
2020-09-01 16:00:00,236.851,27.117,34.27,25.383,9.32,28.471
2020-09-01 17:00:00,241.492,31.259,40.284,30.697,10.456,32.182
2020-09-01 18:00:00,248.932,31.58,39.763,30.599,9.972,32.176
2020-09-01 19:00:00,266.168,34.628,43.238,33.968,10.481,36.239
2020-09-01 20:00:00,252.181,33.267,39.632,27.26,10.985,28.252
2020-09-01 21:00:00,251.867,31.259,37.031,24.913,10.45,25.059
2020-09-01 22:00:00,247.43,31.613,35.432,23.646,10.862,25.171
2020-09-01 23:00:00,234.926,27.186,30.654,20.473,10.0,22.479
2020-09-02 00:00:00,233.201,25.866,28.896,18.668,8.037,21.807
2020-09-02 01:00:00,206.217,24.583,26.999,12.494,6.356,18.643
2020-09-02 02:00:00,197.497,23.37,25.52,13.295,4.846,13.089
2020-09-02 03:00:00,179.337,23.66,23.365,12.939,6.607,2.013
2020-09-02 04:00:00,164.362,19.506,17.659,14.397,4.711,1.416
2020-09-02 05:00:00,163.269,19.915,16.602,14.389,3.353,1.591
2020-09-02 06:00:00,176.187,22.313,19.747,15.362,4.05,7.181
2020-09-02 07:00:00,203.704,21.059,23.334,16.442,4.51,14.423
2020-09-02 08:00:00,232.126,25.601,29.088,22.93,6.841,22.66
2020-09-02 09:00:00,251.679,30.339,32.308,24.419,8.247,26.321
2020-09-02 10:00:00,247.503,29.77,34.394,24.121,8.756,27.887
2020-09-02 11:00:00,242.509,30.818,36.26,23.618,10.237,29.036
2020-09-02 12:00:00,255.333,34.199,37.619,27.97,11.755,31.788
2020-09-02 13:00:00,250.664,32.597,39.019,29.296,9.87,32.12
2020-09-02 14:00:00,249.573,31.848,39.139,28.411,9.671,28.935
2020-09-02 15:00:00,240.063,29.678,34.781,25.4,9.462,28.19
2020-09-02 16:00:00,241.185,31.163,36.947,27.625,8.764,29.007
2020-09-02 17:00:00,249.047,33.102,40.351,31.23,10.516,32.896
2020-09-02 18:00:00,252.045,33.373,43.591,34.477,11.368,35.808
2020-09-02 19:00:00,261.483,35.369,42.637,33.845,12.032,36.01
2020-09-02 20:00:00,252.791,32.908,39.108,26.876,11.969,27.894
2020-09-02 21:00:00,244.511,29.452,35.068,24.198,9.922,23.353
2020-09-02 22:00:00,238.532,31.12,32.607,20.709,10.35,22.695
2020-09-02 23:00:00,237.333,30.166,32.707,19.489,9.901,21.798
2020-09-03 00:00:00,223.91,28.829,29.649,17.771,9.714,18.79
2020-09-03 01:00:00,197.047,27.651,27.042,11.499,6.519,9.882
2020-09-03 02:00:00,173.64,31.723,28.674,11.319,6.155,6.97
2020-09-03 03:00:00,155.28,28.672,27.256,11.678,5.301,1.068
2020-09-03 04:00:00,152.949,25.117,19.729,11.398,6.868,1.086
2020-09-03 05:00:00,154.194,21.527,16.306,13.219,5.052,1.059
2020-09-03 06:00:00,175.909,22.776,19.959,15.29,4.321,7.479
2020-09-03 07:00:00,198.806,21.963,24.53,15.741,4.907,16.413
2020-09-03 08:00:00,231.776,25.227,29.08,22.285,6.247,22.207
2020-09-03 09:00:00,261.934,32.562,37.527,27.636,9.901,31.51
2020-09-03 10:00:00,250.03,32.645,37.437,25.101,10.983,26.628
2020-09-03 11:00:00,238.308,30.033,32.973,20.917,9.228,24.572
2020-09-03 12:00:00,238.91,29.961,35.644,24.563,9.853,26.027
2020-09-03 13:00:00,241.757,31.764,36.175,26.177,9.876,27.557
2020-09-03 14:00:00,239.801,32.212,36.645,26.659,9.87,27.574
2020-09-03 15:00:00,237.928,30.043,35.303,24.79,9.452,27.737
2020-09-03 16:00:00,236.183,29.44,36.713,25.466,10.014,29.085
2020-09-03 17:00:00,244.175,30.251,39.473,31.922,10.854,35.028
2020-09-03 18:00:00,246.251,30.595,40.437,34.063,9.972,37.863
2020-09-03 19:00:00,259.733,36.118,43.762,32.846,11.143,35.505
2020-09-03 20:00:00,251.334,32.535,37.768,27.916,9.771,28.175
2020-09-03 21:00:00,243.458,30.541,35.959,25.709,9.439,25.062
2020-09-03 22:00:00,235.628,30.903,35.04,23.375,9.592,24.997
2020-09-03 23:00:00,230.258,30.423,31.993,21.515,9.846,22.889
2020-09-04 00:00:00,227.918,27.056,28.934,18.672,7.01,22.988
2020-09-04 01:00:00,204.521,24.499,28.143,13.98,5.882,22.15
2020-09-04 02:00:00,193.638,30.236,32.615,13.96,6.708,11.585
2020-09-04 03:00:00,175.433,26.745,27.36,11.888,6.356,10.594
2020-09-04 04:00:00,167.35,25.683,25.527,14.097,5.363,4.769
2020-09-04 05:00:00,157.536,23.596,17.69,14.32,4.754,1.637
2020-09-04 06:00:00,178.373,24.25,21.828,16.229,4.981,8.02
2020-09-04 07:00:00,206.34,22.802,26.461,17.813,5.297,16.918
2020-09-04 08:00:00,235.282,25.083,30.077,21.604,6.93,23.705
2020-09-04 09:00:00,254.97,33.672,37.023,27.046,10.915,29.512
2020-09-04 10:00:00,255.843,33.853,37.884,27.479,10.514,29.641
2020-09-04 11:00:00,248.978,32.61,38.583,27.117,10.094,30.654
2020-09-04 12:00:00,242.954,31.877,36.307,27.035,10.081,30.331
2020-09-04 13:00:00,243.47,33.94,39.165,30.681,10.454,31.628
2020-09-04 14:00:00,246.627,32.578,39.543,28.01,11.883,29.065
2020-09-04 15:00:00,246.72,30.562,36.274,26.086,11.348,28.724
2020-09-04 16:00:00,258.947,34.144,39.92,32.265,12.415,28.863
2020-09-04 17:00:00,256.382,33.844,42.873,30.972,12.266,36.484
2020-09-04 18:00:00,247.47,32.055,40.732,31.325,10.596,34.556
2020-09-04 19:00:00,252.269,33.717,43.266,34.18,11.18,34.453
2020-09-04 20:00:00,250.849,32.302,41.667,30.961,10.718,32.014
2020-09-04 21:00:00,245.248,32.469,39.024,29.08,10.717,29.165
2020-09-04 22:00:00,235.789,30.025,36.549,25.679,9.763,25.539
2020-09-04 23:00:00,229.564,26.966,32.235,23.195,9.238,23.59
